RunID	GPSNum	GarNum	Tipas	Pavadinimas	planTripStartTime	tripStartTime	ahead	aheadStop	aheadStopTime	behind	behindStop	behindStopTime	ReisoMarsrutas	Transportas	Marsrutas	Pavadinimas
-----	------	------	-----	-----------	-----------------	-------------	-----	---------	-------------	------	----------	--------------	--------------	-----------	---------	-----------
766081	3-1938	2521	A>B	Karoliniškės–Žvėrynas–Stotis	392	396.89999	4.4000001	Pamėnkalnio st.	417.89999	5.0999999	Pasakų parkas	397.39999	1	Troleibusai	1	01
766081	3-1938	2521	B>A	Stotis–Žvėrynas–Karoliniškės	426	432.73001	5.5999999	Islandijos st.	441.89999	7.0999999	Laisvės prospektas	459.10001	1	Troleibusai	1	01
766081	3-1938	2521	A>B	Karoliniškės–Žvėrynas–Stotis	468	478.37	9.3999996	Jokūbo Jasinskio st.	499.39999	11.8	Laisvės prospektas	487.29999	1	Troleibusai	1	01
766081	3-1938	2521	B>A	Stotis–Žvėrynas–Karoliniškės	505	515.69	10.1	Rūdninkų st.	518.70001	13.3	Atminties st.	550.09998	1	Troleibusai	1	01
766081	3-1938	2521	A>B	Karoliniškės–Žvėrynas–Stotis	580	596.28998	15.7	Jokūbo Jasinskio st.	616.09998	16.9	Laisvės prospektas	604.40002	1	Troleibusai	1	01
766081	3-1938	2521	B>A	Stotis–Žvėrynas–Karoliniškės	614	632.06	17.700001	Islandijos st.	642	19.200001	Atminties st.	664.09998	1	Troleibusai	1	01
766081	3-1938	2521	A>B	Karoliniškės–Žvėrynas–Stotis	667	676.65002	9.6999998	Gėlių st.	706.90002	11.4	Latvių st.	693.70001	1	Troleibusai	1	01
766081	3-1938	2521	B>A	Stotis–Žvėrynas–Karoliniškės	701	712.56	11	Stotis	712.09998	12.8	Ugniagesių st.	743.5	1	Troleibusai	1	01
766081	3-1938	2521	A>B	Karoliniškės–Žvėrynas–Stotis	749	755.23999	6.5	Ugniagesių st.	758.5	8	Trakų st.	783.59998	1	Troleibusai	1	01
766081	3-1938	2521	B>A	Stotis–Žvėrynas–Karoliniškės	783	791.85999	8.5	Rūdninkų st.	795	10.6	Latvių st.	810.09998	1	Troleibusai	1	01
766081	3-1938	2521	A>B	Karoliniškės–Žvėrynas–Stotis	827	836.89001	9.3000002	Gėlių st.	866.5	11.7	Latvių st.	854	1	Troleibusai	1	01
766081	3-1938	2521	B>A	Stotis–Žvėrynas–Karoliniškės	861	873.92999	11.8	Islandijos st.	883.09998	13.6	Latvių st.	891.09998	1	Troleibusai	1	01
766081	3-1938	2521	A>B	Karoliniškės–Žvėrynas–Stotis	901	927.77002	25	Jokūbo Jasinskio st.	946.59998	28.4	Gėlių st.	959.5	1	Troleibusai	1	01
766081	3-1938	2521	B>A	Stotis–Žvėrynas–Karoliniškės	935	966.02002	30.9	Stotis	965.90002	34.700001	Latvių st.	986.09998	1	Troleibusai	1	01
766081	3-1938	2521	A>B	Karoliniškės–Žvėrynas–Stotis	981	1016.54	34	Gėlių st.	1045.2	35.799999	Laisvės prospektas	1024.3	1	Troleibusai	1	01
766081	3-1938	2521	B>A	Stotis–Žvėrynas–Karoliniškės	1015	1051.8	36.700001	Stotis	1051.8	41.200001	Latvių st.	1073.7	1	Troleibusai	1	01
766081	3-1938	2521	A>B	Karoliniškės–Žvėrynas–Stotis	1092	1134.84	39.099998	Gėlių st.	1161.2	43.099998	Ugniagesių st.	1138	1	Troleibusai	1	01
766179	3-10605	2713	A>B	Karoliniškės–Žvėrynas–Stotis	432	412.45001	-20.6	Kęstučio st.	429.39999	-19.200001	Trakų st.	440.5	1	Troleibusai	1	02Ž
766179	3-10605	2713	B>A	Stotis–Žvėrynas–Karoliniškės	469	450.26999	-19.299999	Sėlių st.	468.60001	-17.9	Pamėnkalnio st.	462.89999	1	Troleibusai	1	02Ž
