VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	173	11	5	856	792	92.523369	58	6.775701	6	0.70093453
2-10002	648	16	1	3101	2873	92.647537	179	5.7723312	49	1.5801356
2-1011	22	10	4	1798	1693	94.160172	105	5.8398223	0	0
2-1022	26	10	4	3471	3229	93.027946	242	6.9720545	0	0
2-10336	21405	1501	4	3079	2338	75.933746	184	5.975966	557	18.090288
2-10345	79	11	5	583	524	89.879929	54	9.2624359	5	0.85763288
2-10348	68	10	4	3059	2897	94.704147	155	5.0670156	7	0.22883295
2-10370	101	11	4	3836	3568	93.013557	253	6.5954118	15	0.39103231
2-10375	28	11	4	3014	2796	92.76709	218	7.2329135	0	0
2-10376	23	10	1	3208	3023	94.23317	185	5.7668328	0	0
2-10380	200	12	4	2862	2394	83.647797	457	15.967854	11	0.3843466
2-10383	58	10	1	67	64	95.522385	1	1.4925373	2	2.9850745
2-10384	22	10	4	1612	1520	94.292801	92	5.7071962	0	0
2-10393	269	11	4	3598	3378	93.88549	197	5.4752641	23	0.63924402
2-10398	81	10	4	3973	3805	95.771454	150	3.7754846	18	0.45305815
2-10423	67	10	4	3339	3136	93.920341	198	5.9299188	5	0.14974543
2-10454	67	10	3	2936	2748	93.596733	183	6.2329702	5	0.17029972
2-10482	19	10	3	1801	1712	95.058296	89	4.941699	0	0
2-10486	37021	10706	4	3190	1121	35.141068	70	2.1943574	1999	62.664574
2-10488	700	26	5	1596	1415	88.659149	105	6.5789475	76	4.7619047
2-10489	74	10	4	3709	3497	94.284172	204	5.5001349	8	0.21569157
2-10490	794	66	5	83	68	81.927711	5	6.0240965	10	12.048193
2-10563	952	18	3	3839	3483	90.726753	251	6.5381608	105	2.7350874
2-10567	75	10	3	3317	3105	93.608681	205	6.1802835	7	0.21103406
2-10581	88	11	4	1213	1130	93.157455	74	6.1005774	9	0.74196208
2-10584	107	11	4	3872	3645	94.137398	208	5.3719006	19	0.49070251
2-10594	1397	194	2	3110	1647	52.958195	212	6.81672	1251	40.225079
